company_name for Emails,facebook_url,domain
Hospital Universitario La Paz,,
Garrigues,http://www.facebook.com/garriguesabogados,garrigues.com
Management Solutions,https://facebook.com/mngmtsolutions,managementsolutions.com
OVB Allfinanz España,,
Tutor with Preply,https://www.facebook.com/preply,
DGA,,
Hospital Universitario La Paz,,
Air Europa,https://facebook.com/AirEuropa/,aireuropa.com
OCA GLOBAL,https://es-la.facebook.com/OCAGlobal/,ocaglobal.com
Perfumerías Primor,https://es-es.facebook.com/PerfumeriasPrimor,primor.eu
Applus+ IDIADA,https://facebook.com/applusidiada,applusidiada.com
THB hotels,https://www.facebook.com/THBhotels/,thbhotels.com
Universidad Autónoma de Madrid,,uam.es
Murgiverde,,murgiverde.com
knowmad mood,,knowmadmood.com
Exeltis,https://facebook.com/Exeltis-Pharma-334579000050212/,exeltis.com
Santillana,,santillana.es
Universitat Rovira i Virgili,https://www.facebook.com/universitatURV/,urv.cat
Banco de España,,bde.es
Universitat Ramon Llull,https://www.facebook.com/Plesk,
GoI,https://www.facebook.com/people/GOI/100063745171948/,goi.com
Universitat Ramon Llull,https://www.facebook.com/Plesk,
Grupo Alonso,,
Universidad de Extremadura,,unex.es
CIRSA,,cirsa.com
Vocento,https://facebook.com/VocentoSocial,vocento.com
BBVA en España,,bbva.es
TRADEBE,,tradebe.com
Senator Hotels & Resorts,https://www.facebook.com/SenatorHotelsResorts/,senatorhr.com
Universidad Francisco de Vitoria,https://www.facebook.com/UFVmadrid/,ufv.es
T-Systems Iberia,https://facebook.com/tsystems.international?ref=tn_tnmn,
VITALY,,vitaly.es
Intress,https://www.facebook.com/IntressOrg,intress.org
Grupo Alonso,,
T-Systems Iberia,https://facebook.com/tsystems.international?ref=tn_tnmn,
Lecta,,lecta.com
GBfoods,,thegbfoods.com
Transgourmet Ibérica,,transgourmet.es
Cellnex Telecom,,cellnextelecom.com
Universidad CEU San Pablo,https://www.facebook.com/USPCEU,uspceu.com
Consulta propia,,carlosdp.com
Autónomo,,jesusnieto.es
Mecalux,https://www.facebook.com/Mecalux.Group,mecalux.com
TYPSA,,typsa.com
Estado Activo,,estadoactivo.com
Hospital de la Santa Creu i Sant Pau,https://www.facebook.com/HospitalSantaCreuiSantPau/,santpau.cat
